name,salary_from,salary_to,currency,city,link,discription
водитель,60000,85000,RUR,Красноярск,https://hh.ru/vacancy/111322043,"Следить за безопасностью и комфортом пассажиров. Составлять оптимальный маршрут движения. Выяснять информацию о местонахождении автозаправочных станций по маршруту движения, прогнозе..."
водитель офиса (на автомобиле компании),70000,,RUR,Екатеринбург,https://hh.ru/vacancy/111392402,"Управление служебным автомобилем с целью перевозки сотрудников и руководства компании по городу и в пределах области, доставка документации. "
личный водитель,500000,501000,KZT,Алматы,https://hh.ru/vacancy/109473098,Безопасное вождение автомобиля. Выполнение ежедневных поручений. Работа <highlighttext>водителем</highlighttext> в семье. Работа помощника.
водитель-экспедитор,420000,450000,KZT,Шымкент,https://hh.ru/vacancy/111482962,Доставка товара по тт.
водитель,350000,1000000,KZT,Караганда,https://hh.ru/vacancy/111373000,Выполняй заказы на а/м марки Hyundai Accent (АКПП/ МКПП) и не переживай что не заработаешь на аренду и прочее! - 
личный водитель,100000,120000,RUR,Москва,https://hh.ru/vacancy/111534831,Обслуживание автомобилей.
офисный водитель,60000,,RUR,Воронеж,https://hh.ru/vacancy/111528435,"Обеспечение безопасного и комфортного передвижения руководителя. Одно и двухдневные командировки (Тула, Курск, Ярославль). Обслуживание авто. Содержание машины в чистоте. "
офисный водитель,93000,93000,RUR,Москва,https://hh.ru/vacancy/111535824,корпоративное обслуживание сотрудников . - планирование маршрута движения с учетом дорожной обстановки. - выполнение поручений руководителя подразделения. - полный контроль за техническим состоянием автомобиля. - 
водитель,325000,372000,RUR,Красноярск,https://hh.ru/vacancy/111571112,Управление тягач SHACMAN/МАЗ самосвал или полуприцеп с бортовой платформой. Мелкосрочный ремонт самостоятельно. Короткие плечи.
водитель спецтехники (камаз - илосос),110000,,RUR,Москва,https://hh.ru/vacancy/109664393,Исполнять обязанности <highlighttext>водителя</highlighttext> при проведении работ на специализированной илососной технике (на шасси КАМАЗ) в Москве и ближайшем Подмосковье.
семейный водитель,140000,160000,RUR,Москва,https://hh.ru/vacancy/111241390,"Закупка продуктов, химчистка, выполнение мелких поручений."
водитель,60500,,RUR,Екатеринбург,https://hh.ru/vacancy/111560038,Обеспечение своевременной подачи автомобиля. Осуществление деловых поездок с руководителем. Содержание автомобиля в полной чистоте и технической исправности: Работа связана с...
офисный водитель на автомобиль организации,250000,350000,KZT,Алматы,https://hh.ru/vacancy/110355512,Обеспечение профессионального и безопасного вождения. Выполнение поручений руководства; экспедитор по городу. Соблюдение правил дорожного движения. Соблюдение правил этикета и конфиденциальности. 
водитель на газель (межгород),160000,,RUR,Москва,https://hh.ru/vacancy/111066407,Перевозка грузов Москва-города Центральной России. - Управление и эксплуатация авто (Газель) в соответствии с ПДД. - Обеспечение сохранности груза в процессе...
водитель,95000,,RUR,Москва,https://hh.ru/vacancy/111325086,Своевременная подача автомобиля в назначенное время. Планирование оптимального маршрута передвижения с учетом особенностей дорожной ситуации. Своевременная мойка и поддержание чистоты...
водитель категории b,70000,,RUR,Южно-Сахалинск,https://hh.ru/vacancy/111457869,Перевозка пассажиров.
водитель персональный,150000,150000,RUR,Москва,https://hh.ru/vacancy/111215083,Безопасно сопровождать клиента и его семью в соответствии с заранее согласованным графиком. Своевременно проводить ТО автомобиля. Держать автомобиль в чистоте.
персональный водитель руководителя,100000,120000,RUR,Москва,https://hh.ru/vacancy/111443124,Транспортное сопровождение руководителя на автомобиле работодателя. Выполнение поручений руководителя.
водитель категории с,3000,,BYR,Витебск,https://hh.ru/vacancy/111214241,
